Id;Nombre;Apellido1;Apellido2;Sexo;Nif;Direccion;Municipio;Provincia;Cp;Movil;Telefono;Correo;Nacimiento;direccion_y;diireccion_y;max_clientes;Coste
959;María Carmen;García;Romero;M;95660773R;Calle Decadencia Culta 233, 6º 4ª;Baracaldo;Vizcaya;48062;659-019-493;940-470-426;mari.garcia@correo.net;18/05/1987;482;81;30;20648
960;Manuel;Figueroa;Perea;H;56320598S;Calle la Vesícula Gentil 244, 1º;Soria;Soria;42400;617-425-174;975-448-123;manuelfigueroa@correo.es;17/01/1959;241;220;62;16021
961;Rosario;Oliva;Aparicio;M;49084528K;Avenida la Residencia 162, 2;Alicante;Alicante;3559;639-005-698;964-940-947;rosoliva@correo.com;29/11/1986;168;46;68;24986
962;María;Jiménez;López;M;86890674D;Paseo la Subida Simpática 264 bis, 6º 5ª;Las Rozas de Madrid;Madrid;28558;643-704-790;916-005-072;mjimenez@mail.com;09/05/1985;389;156;35;21955
963;Beatriz;Campos;Caño;M;13338319K;Avenida Exclusión Resplandeciente 1, 6º 4ª;Madrid;Madrid;28568;624-741-973;910-746-972;campos86@correo.net;27/07/1996;369;273;64;23414
964;Lucia;Coll;Sánchez;M;55555053W;Avenida de  Bisílabo Moderno 45, 2º 5ª;Armilla;Granada;18970;699-634-086;958-140-219;lcoll@email.com;21/08/1969;156;49;64;16525
965;Óscar;Padilla;Blanco;H;65287458A;Paseo Expresiva Alta 225, 3º 4ª;Madrid;Madrid;28405;676-414-658;912-840-488;opadilla@correo.net;25/07/1933;15;46;71;20464
966;Concepción;Moreno;Alonso;M;54160446T;Plaza Construcción 149, 6º 6ª;Cádiz;Cádiz;11013;600-009-308;956-121-520;conmoreno84@mail.es;27/05/1988;89;314;36;16703
967;María Rocío;Ortega;Barquín;M;64263116N;Calle Adversidad 72, 2;Pamplona;Navarra;31705;657-284-839;948-834-847;marortega95@correo.com;25/11/1990;129;45;40;15824
968;Sergio;Arjona;López;H;00259635B;Calle Callosidad 135, 2º;Barcelona;Barcelona;8307;642-267-973;937-979-245;serarjona26@mail.net;02/07/1952;400;96;36;16657
969;María Dolores;González;Gómez;M;03403832Q;Calle la Polinización 218, 5;Valdemoro;Madrid;28402;696-713-446;918-139-934;mgonzalez@mail.net;30/08/1950;3;409;62;19684
970;Carlos;Ferrer;Hernández;H;62915314X;Plaza de la Bienvenida Verde 91 bis, 2;Móstoles;Madrid;28278;668-937-159;919-034-779;carferrer@correo.com;07/10/1974;357;6;98;19515
971;Ángel;Benito;Dorado;H;49493321N;Plaza Universo 72, 6º;Madrid;Madrid;28236;614-104-228;917-057-549;angelbenito65@correo.es;07/12/1954;320;489;32;19953
972;David;Hernández;Morales;H;15913273X;Plaza de  Transfusión 16, 5;Santa Coloma de Gramanet;Barcelona;8579;646-069-414;937-511-807;david.hernandez@email.com;28/12/1989;281;364;52;17099
973;María Carmen;Galán;Moreno;M;52045516N;Calle  Biblia Fácil 42 bis, 3º;Villena;Alicante;3754;654-805-496;962-100-980;mariacarmen.galan@mail.net;16/10/1982;377;245;94;20892
974;Lucia;Sánchez;Torres;M;29085559N;Plaza Partenogénesis 121, 1;Madrid;Madrid;28082;615-673-205;913-245-709;lsanchez88@correo.com;19/09/1977;350;421;41;21093
975;Yolanda;Larrañaga;Carrasco;M;78647817F;Calle  Semblanza Gentil 130, 1º 3ª;Valencia;Valencia;46569;673-155-982;966-048-569;ylarrañaga@correo.es;14/08/1981;259;122;42;16474
976;María Isabel;Marín;Calvo;M;62908821A;Avenida de lo Trascendental Sensato 191, 6º 3ª;Valdemoro;Madrid;28720;676-932-633;918-460-318;mari.marin@email.es;24/11/1979;0;298;89;21090
977;Enrique;Jaén;Rodríguez;H;28322055Q;Plaza  Vulcanismo Cruel 157, 5º;Figueras;Gerona;17425;647-391-368;972-706-532;enrjaen59@mail.com;12/06/1967;407;188;57;20012
978;José María;Tébar;Mena;H;78950399R;Plaza Barbarismo Amoroso 195, 6º 2ª;Tarrasa;Barcelona;8529;699-881-695;936-965-916;jostebar@email.com;20/01/1971;354;150;92;22265
979;Dolores;Rubio;Teruel;M;47599622H;Plaza Pasivo 47, 6º 6ª;Sabadell;Barcelona;8355;693-492-087;932-017-173;dolrubio@email.es;18/01/1983;192;398;57;19755
980;Jordi;Botella;Martin;H;50881650S;Avenida Envoltura 159, 3º;Huelva;Huelva;21344;665-853-018;959-666-441;jordibotella59@correo.es;31/01/1975;141;122;49;23760
981;Elena;Ocaña;Marrero;M;03641510N;Avenida Fotosíntesis Honesta 258, 2º;Badalona;Barcelona;8880;673-644-362;935-785-629;eocaña@correo.com;08/07/1997;367;273;64;20274
982;Jorge;Claros;Muñoz;H;36413976P;Plaza Excavación 271, 3º 6ª;Gavá;Barcelona;8838;665-944-999;938-228-321;jor.claros@email.es;24/12/1969;300;397;62;22166
983;María Dolores;Molina;Parrado;M;57898718J;Plaza Precipitación 270, 5º;Cornellá de Llobregat;Barcelona;8589;614-888-360;932-237-749;mmolina@email.net;15/12/1963;27;266;66;23928
984;Antonio;González;Rodríguez;H;25686198M;Avenida Envase 154, 6;Avilés;Asturias;33304;623-423-838;987-023-120;gonzalez26@mail.net;06/11/1964;426;213;88;24089
985;Josep María;González;García;H;95510434J;Avenida  Galaxia 49, 6;Madrid;Madrid;28589;682-660-675;918-388-177;jgonzalez@correo.net;14/01/1954;239;401;68;17627
986;María Luisa;Garate;Lozano;M;03067543X;Paseo  Buenaventura Aurífera 84, 3;Gijón;Asturias;33857;632-581-121;985-187-840;mgarate@email.net;02/04/1940;424;136;93;20254
987;Antonio;Fernández;Rodríguez;H;37467093R;Avenida  Inefable 85, 2º 3ª;Sant Cugat del Vallés;Barcelona;8986;694-605-992;937-162-504;fernandez3@email.com;02/02/1969;467;127;78;19728
988;Antonio;Jiménez;Sastre;H;45940497K;Plaza  Expresión Gentil 227, 2º;Roquetas de Mar;Almería;4042;688-358-778;950-495-461;antoniojimenez@correo.es;04/06/1966;312;257;77;20977
989;Sergio;Hidalgo;Martínez;H;11320201S;Paseo del Centímetro Grande 153, 6º;Santiago de Compostela;La Coruña;15838;655-591-288;981-232-037;sergiohidalgo@correo.com;12/06/1991;290;273;86;21395
990;Catalina;Estrella;Hernández;M;79098386Y;Avenida Procesión Deportiva 201, 2º 5ª;Sant Cugat del Vallés;Barcelona;8725;609-984-991;934-181-531;cestrella@mail.net;16/09/1967;258;352;35;21727
991;María;Lora;Soler;M;26953009E;Plaza del Objeto Listo 170, 4;Vitoria;Álava;1739;618-785-413;945-310-091;marialora@email.com;17/08/1964;421;293;36;24285
992;Antonio;Botella;Carballo;H;13478687C;Calle de  Improvisación Independiente 265, 4º;Santiago de Compostela;La Coruña;15752;662-274-317;981-640-117;antonio.botella@mail.net;23/06/1949;214;339;41;15048
993;Álvaro;Díaz;Ferrer;H;25755084Y;Avenida Expansión 223, 3º 6ª;Torrente;Valencia;46368;604-515-155;964-042-383;a.diaz@mail.es;27/04/1994;321;326;98;18268
994;José;Martínez;Navarro;H;33166694G;Paseo Transferencia 159, 2º;Palma de Mallorca;Islas Baleares;7726;651-751-845;971-867-871;josmartinez@mail.net;31/01/1941;448;178;72;20246
995;Antonia;Berrocal;Prieto;M;15081669V;Paseo del Agudizamiento 232, 4º 1ª;Torrejón de Ardoz;Madrid;28608;614-616-639;916-330-716;aberrocal44@mail.es;16/01/1938;63;49;43;21360
996;Ana;Moreno;Fernández;M;46816929S;Avenida el Hallazgo Negro 278, 1;Madrid;Madrid;28060;684-976-505;919-727-961;moreno44@correo.es;12/06/1981;149;464;40;23000
997;Miguel Ángel;Echeverría;Belda;H;55788601P;Calle de  Obsesión Ácida 258, 5;Málaga;Málaga;29463;624-316-505;958-093-425;migecheverria14@mail.net;29/01/1962;495;170;69;15688
998;Antonio;Ezquerra;Vargas;H;47814570P;Avenida Deslizamiento 173, 2º;Bilbao;Vizcaya;48969;620-824-129;949-685-566;antonioezquerra@mail.es;04/04/1976;482;176;31;24035
999;Josefa;Triviño;Pérez;M;62477622P;Paseo  Persuasión Ordenada 28, 3º 6ª;Guecho;Vizcaya;48293;603-960-983;942-581-950;triviño4@correo.es;07/10/1949;71;36;57;18025
1000;Paula;Alonso;Santiago;M;87579471W;Calle de  Descriptiva Buena 19, 1º;Vitoria;Álava;1585;636-658-857;945-667-761;alonso61@mail.es;15/07/1984;242;256;67;24740
1001;Laura;Astorga;Ortega;M;12099210Z;Paseo de lo Verboides Nuevo 2, 4º;Dos Hermanas;Sevilla;41653;669-730-810;958-251-437;lauastorga94@mail.com;31/01/1948;101;338;82;22500
1002;María Ángeles;Melchor;Pereira;M;05968315E;Calle Unilateral 217, 3º 2ª;Valladolid;Valladolid;47850;652-337-572;983-160-420;mmelchor@mail.com;05/02/1984;450;115;53;17023
1003;José;Sáez;Aranda;H;13555434Q;Paseo de  Selectividad 102, 6º;Parla;Madrid;28890;665-793-413;913-787-478;saez66@mail.com;10/01/1984;435;468;92;20873
1004;María;Fernández;Vílchez;M;30522985F;Plaza Decadencia 127, 4º 4ª;Valencia;Valencia;46599;684-103-804;968-241-482;mfernandez@correo.es;21/07/1971;259;379;46;23107
1005;Ángel;Yanes;García;H;30640602W;Plaza de  Icónico Alto 31, 2º;Elche;Alicante;3160;658-331-621;960-448-844;angyanes55@email.com;11/11/1951;478;223;72;22789
1006;Carlos;Cruz;Guerrero;H;34770106V;Calle Vértice 83, 2º;Córdoba;Córdoba;14565;699-312-495;957-865-519;carloscruz@mail.es;21/01/1938;114;388;30;17611
1007;David;Pedrosa;Salas;H;40806984Q;Plaza de lo Instructivo 280, 6;Santurce;Vizcaya;48082;671-468-751;949-671-367;d.pedrosa@email.es;12/06/1975;182;51;38;23887
1008;Francisco;Moreno;Mas;H;59267150Z;Avenida Servicio Valiente 225, 5º 2ª;Valencia;Valencia;46309;641-273-057;968-746-088;moreno60@correo.net;26/03/1936;490;307;61;19322
1009;María Luisa;García;Parrilla;M;68949849N;Paseo Genoma 74, 1;Orense;Orense;32869;691-075-218;988-617-706;garcia1@email.es;30/05/1987;371;24;78;23133
1010;Alberto;Núñez;Puig;H;45209041B;Avenida del Predicativo Enfermo 132, 4º 4ª;Rivas-Vaciamadrid;Madrid;28281;694-859-379;914-833-624;albnuñez@email.es;05/01/1980;450;257;73;17130
1011;Miguel;Gil;Nicolás;H;82163323D;Avenida el Éxodo Venenoso 168, 2º 6ª;Conil de la Frontera;Cádiz;11892;653-107-903;956-012-100;miguelgil@email.es;30/07/1955;112;154;49;16867
1012;Lucia;García;Rodríguez;M;96648054F;Paseo el Cuadrúpedo 36, 6º 4ª;Palencia;Palencia;34648;620-432-387;979-650-414;garcia13@correo.net;18/07/1969;236;0;87;24017
1013;María;Armas;Ramírez;M;27524739H;Plaza de la Colección Triste 77, 6º;Parla;Madrid;28985;673-193-745;913-461-384;mararmas@email.es;11/03/1975;442;500;74;22307
1014;José Antonio;Soto;Ospina;H;07632815N;Paseo Exhibición Sabia 106, 6º;Ronda;Málaga;29201;621-233-296;950-703-495;jossoto63@email.com;10/08/1958;338;346;67;23882
1015;María Dolores;Infantes;Sánchez;M;93795418S;Plaza Municipio Negro 45, 1º;Pamplona;Navarra;31311;613-759-568;948-326-177;m.infantes@correo.es;13/03/1942;338;478;71;23223
1016;Laura;Del Amo;Sánchez;M;85481620G;Paseo Bíceps 138, 1º;Madrid;Madrid;28777;659-097-063;917-175-417;lde23@mail.net;17/07/1946;340;499;72;19970
1017;Carlos;Gómez;González;H;10078829E;Calle Bisílabo Sensato 291, 5º 6ª;Dos Hermanas;Sevilla;41673;624-504-274;951-691-644;cargomez@mail.es;11/12/1933;143;247;77;22399
1018;Nerea;Ramírez;Gómez;M;62246728B;Plaza Binomio Inquebrantable 259, 3º;Hospitalet de Llobregat;Barcelona;8980;671-749-258;935-783-969;nerramirez@email.com;24/06/1988;118;331;86;18437
1019;María Pilar;Marcos;Villegas;M;49882562R;Plaza Comezón Hermoso 279, 2;Mejorada del Campo;Madrid;28695;689-069-471;919-932-285;mmarcos@mail.es;09/09/1940;495;148;49;22346
1020;Raúl;Torrijos;Hernández;H;36539856D;Calle Posibilidad 78, 3º 3ª;Sevilla;Sevilla;41550;623-417-662;950-882-957;r.torrijos@correo.es;30/03/1953;20;198;38;22933
1021;Alex;Albert;Aragón;H;82186297Y;Plaza Vocativo 38, 4º 4ª;Oviedo;Asturias;33819;672-282-476;988-507-050;alealbert@mail.es;26/01/1946;151;400;34;23230
1022;Sara;González;Puerta;M;55473468K;Calle Acceso Fácil 191, 4º 1ª;Icod de los Vinos;S.C. de Tenerife;38700;610-999-902;922-646-704;saragonzalez@mail.net;04/06/1938;362;360;31;19109
1023;Mercedes;Herreros;De Castro;M;21844538N;Paseo del Nucela Sensato 236, 2º;Arona;S.C. de Tenerife;38535;655-669-318;922-558-043;mercedesherreros67@correo.es;01/11/1964;404;151;75;17511
1024;Rosa;González;Martin;M;08868637K;Paseo Verbo 271, 3;Madrid;Madrid;28965;638-154-730;916-221-470;r.gonzalez@mail.net;01/05/1993;415;154;30;22069
1025;María José;López;Sánchez;M;99743443X;Paseo de lo Esencial 119, 3º 6ª;El Puerto de Santa María;Cádiz;11854;646-713-214;956-091-822;mlopez@correo.com;03/12/1967;59;256;48;19582
1026;María Carmen;Rico;Maldonado;M;54935261Z;Avenida del Autótrofo Grande 2, 1º 1ª;Granada;Granada;18924;666-053-661;958-820-636;marrico9@email.com;03/09/1970;415;211;73;20001
1027;María Ángeles;Pérez;Cuesta;M;87439239R;Avenida de  Incisión Sensata 250, 6;Badalona;Barcelona;8293;669-675-207;931-134-332;marperez@correo.com;19/08/1948;185;109;47;20887
1028;Francisca;Núñez;Bravo;M;10937626E;Plaza Bario Luminoso 141, 4º 6ª;Utrera;Sevilla;41305;676-101-339;955-256-134;fnuñez47@mail.com;01/11/1966;166;88;98;19748
1029;José Antonio;García;Gordon;H;53115226S;Plaza  Consejo 250, 4º;Paterna;Valencia;46057;631-567-881;969-694-625;josgarcia@correo.es;23/08/1997;201;248;34;15023
1030;Concepción;Nieto;García;M;67905859S;Calle Residencia 270, 1º;Torrevieja;Alicante;3785;622-515-116;968-569-925;nieto72@mail.es;01/04/1985;280;315;32;18100
1031;María Teresa;Martínez;Rodríguez;M;00281743Q;Calle Religión Deportiva 6, 5º 3ª;Almería;Almería;4459;683-022-055;950-858-845;martinez81@email.com;02/01/1967;10;321;79;23001
1032;Miguel;Baena;Pascual;H;22441478X;Calle Religión Cruel 223, 2º;Alicante;Alicante;3652;612-097-065;962-923-264;mbaena@email.com;15/11/1953;419;210;84;16481
1033;María;López;Sanz;M;25869331N;Paseo de  Bélico 81, 2º;Sevilla;Sevilla;41804;631-236-250;959-766-674;lopez5@mail.com;05/07/1974;161;380;73;19416
1034;Roberto;Pérez;Fernández;H;50721536G;Avenida del Laceramiento 146, 5;Ceuta;Ceuta;51621;655-481-960;956-832-016;rperez56@correo.com;16/04/1999;310;486;80;22300
1035;Verónica;Arranz;Menéndez;M;73422927G;Calle el Excepcional 123, 2º 5ª;Tarrasa;Barcelona;8718;611-696-941;934-936-008;verarranz70@correo.es;25/07/1953;479;311;44;18682
1036;Pedro;Rodríguez;Ibáñez;H;36664353F;Calle el Clásico Humilde 23, 2º 4ª;Madrid;Madrid;28309;603-833-734;915-929-669;p.rodriguez@email.net;15/05/1960;114;293;49;17708
1037;José Manuel;González;Mariscal;H;99137671N;Plaza Víbora Dulce 2, 1;Valencia;Valencia;46617;673-655-570;964-744-937;josgonzalez@mail.net;19/06/1966;262;357;39;19168
1038;Ana;Tomas;Barrio;M;41582462A;Avenida de  Covalente 84, 3º 2ª;Jerez de la Frontera;Cádiz;11171;617-621-074;956-116-233;anatomas15@email.net;10/08/1974;237;69;69;16457
1039;José María;Silvestre;Ríos;H;79371693G;Plaza Constitución 42, 1º 5ª;Baza;Granada;18313;688-944-600;958-069-362;jossilvestre11@correo.net;06/12/1973;17;3;41;22139
1040;Miguel Ángel;García;Villegas;H;06105648E;Avenida  Coherencia Simpática 197, 6º;Estepona;Málaga;29301;661-721-893;957-207-008;mgarcia@email.net;09/02/1963;409;139;56;18529
1041;Esther;Pérez;Moreno;M;79054334E;Plaza  Cóncavo 251, 5º;Barcelona;Barcelona;8193;651-644-484;936-295-380;e.perez@correo.com;07/03/1985;478;53;35;19625
1042;Alejandro;Jiménez;Cano;H;29576480K;Plaza  Jilguero Viejo 155, 3;San Adrián de Besós;Barcelona;8480;607-102-733;939-470-000;alejandro.jimenez@correo.net;15/11/1937;311;485;45;19179
1043;María Teresa;Pinilla;García;M;65138465G;Avenida del Micrótomo 56, 4º 3ª;Ceuta;Ceuta;51224;609-825-510;956-371-071;maripinilla60@correo.es;22/07/1956;276;459;50;17165
1044;David;Marques;Fernández;H;18741055B;Avenida la Distribución 278, 2;Soria;Soria;42394;652-894-232;975-337-463;dmarques@correo.com;26/10/1973;172;109;86;22784
1045;Diego;García;López;H;95051315C;Paseo Carnívoro 102, 2º 6ª;Elche;Alicante;3023;694-716-161;966-034-386;dgarcia99@email.es;01/04/1989;169;103;32;18031
1046;María;Marcos;Vidal;M;23772170Z;Avenida Ribosoma Bondadoso 33, 2;Logroño;La Rioja;26795;625-309-495;941-876-079;marcos60@mail.com;03/03/1961;493;369;53;23123
1047;Luis;Puga;Delgado;H;02973853E;Avenida Diptongo 127, 3º 6ª;Mataró;Barcelona;8861;642-374-266;931-989-857;lpuga@email.com;21/04/1960;160;12;97;24364
1048;Lucia;Redondo;Santamaría;M;46741545W;Calle  Óvulo 58, 3º;Fuenlabrada;Madrid;28973;659-277-074;913-327-412;lredondo@correo.es;16/11/1981;456;119;52;15629
1049;Francisco;Serrano;Lara;H;68463123N;Calle de la Repercusión 102, 1;Madrid;Madrid;28046;607-040-354;919-888-633;serrano8@email.com;03/06/1961;388;471;36;21576
1050;María;Guerra;Bruno;M;86412368B;Plaza Predicativo 15, 6º 6ª;Coria del Río;Sevilla;41188;690-019-350;956-699-024;maria.guerra@email.com;11/04/1933;20;31;41;21927
1051;María;Miguel;Gómez;M;93898510K;Calle  Decadencia 142, 6º 4ª;Villafranca del Panadés;Barcelona;8799;615-855-918;936-668-761;mmiguel@mail.com;21/11/1979;474;22;46;21545
1052;María Teresa;Valls;Martínez;M;32093613B;Avenida lo Trascendental 102, 5;Barcelona;Barcelona;8567;662-204-943;933-557-348;mvalls94@email.es;07/03/1952;86;484;66;22052
1053;Manuel;González;Fraile;H;43644631S;Plaza Lingüística Sonora 118 bis, 3º 4ª;Alcobendas;Madrid;28894;666-441-854;917-442-146;mgonzalez19@correo.com;11/03/1984;255;402;49;17681
1054;Rafael;Vicente;Calleja;H;35348999T;Calle de  Nacionalidad 39, 3º;Mogán;Las Palmas;35034;659-123-968;928-699-518;rafvicente64@correo.com;15/08/1965;299;8;40;16465
1055;Juan Manuel;Muñoz;León;H;88429073F;Paseo lo Vulnerable Sensato 244, 1º;San Vicente del Raspeig;Alicante;3070;601-570-911;961-892-704;juamuñoz@mail.com;04/01/1935;475;307;90;17045
1056;María Pilar;Castells;Torres;M;44084629T;Avenida  Experimento 27, 2;Sevilla;Sevilla;41617;674-094-741;959-401-587;mcastells@correo.com;18/07/1943;435;345;67;20256
1057;Santiago;Fernández;Soriano;H;30273742S;Paseo Medieval Fácil 272, 3º;Benalmádena;Málaga;29577;687-514-172;958-900-712;sfernandez@mail.net;19/04/1971;443;300;42;24056
1058;Juan;Rodríguez;Melian;H;86852311X;Calle Híbrido 275, 5º;San Sebastián;Guipúzcoa;20986;622-242-652;943-293-714;juanrodriguez@correo.es;09/02/1950;399;181;72;24058
1059;Francisco Javier;Álvarez;Méndez;H;11319963F;Avenida de  Flexibilidad Ancha 267, 4;Alicante;Alicante;3487;664-773-488;963-087-089;f.alvarez@correo.com;22/05/1981;30;97;43;19738
1060;Carlos;Grau;Rodríguez;H;91237425J;Calle de  Vacío 4, 6º 3ª;Marbella;Málaga;29214;672-020-612;953-200-958;carlos.grau@correo.es;06/06/1957;449;459;100;21963
1061;Patricia;Gálvez;Vega;M;28686524G;Paseo Enlace Ordenado 120, 5º;Rivas-Vaciamadrid;Madrid;28735;630-705-130;919-988-923;patgalvez@email.es;17/05/1973;191;194;62;16367
1062;Ángel;Mira;Rodríguez;H;90792306J;Avenida Bacilo 65, 4º 6ª;Alicante;Alicante;3880;603-717-460;960-880-970;angmira@email.com;18/03/1952;75;402;37;17518
1063;Rubén;Muñoz;Serrano;H;55010710T;Paseo del Abiótico Eficiente 151, 3º;Murcia;Murcia;30596;660-684-536;968-144-422;rubmuñoz@mail.es;12/06/1993;130;179;44;17195
1064;María Ángeles;Mohamed;Romero;M;80905844D;Calle de lo Irreversible Hermoso 155, 1º 3ª;Cádiz;Cádiz;11567;691-652-326;956-200-024;mar.mohamed@mail.net;07/02/1975;81;268;94;22077
1065;Francisco;Gutiérrez;Cifuentes;H;18122040H;Avenida  Calvicie Inteligente 262, 1º;Burjasot;Valencia;46388;614-966-503;966-400-929;franciscogutierrez48@correo.es;06/07/1993;78;45;78;20144
1066;Ana María;Moreno;Castillo;M;84829926S;Plaza  Abdicación 277, 3º 6ª;Boadilla del Monte;Madrid;28052;655-039-850;919-360-652;moreno73@mail.com;21/09/1937;44;183;80;16685
1067;Xavier;Barriga;Hernández;H;45223269W;Avenida de la Convocatoria 63, 5º;Burjasot;Valencia;46045;640-183-261;964-986-153;xavbarriga@mail.es;25/06/1953;75;41;40;22186
1068;Eduardo;Martínez;Esteban;H;19790814G;Calle Discriminación 9, 5;Santa Cruz de Tenerife;S.C. de Tenerife;38756;604-105-971;922-543-989;eduardomartinez52@mail.com;04/06/1961;290;499;89;19350
1069;Irene;Kaur;Sánchez;M;82265367W;Calle Auscultación Valiente 1, 4;Oliva;Valencia;46133;646-304-412;961-863-610;irenekaur@email.net;01/03/1970;333;352;42;21435
1070;Antonio;Palacio;Fernández;H;09659734X;Avenida Introducción 122, 5;Torrevieja;Alicante;3238;670-714-633;968-102-876;antoniopalacio@correo.es;26/01/1990;396;46;82;20875
1071;Manuela;López;López;M;07661987C;Paseo  Adversario Feo 258, 3º 5ª;Irun;Guipúzcoa;20554;643-578-907;943-104-913;lopez58@correo.com;11/01/1965;374;179;79;19127
1072;Josep;Criado;Arranz;H;25535211J;Avenida Resolución Honesta 7, 2º;Mieres;Asturias;33370;602-041-610;984-884-858;criado6@mail.com;13/08/1945;396;240;89;22556
1073;Juan Carlos;Porras;Fernandes;H;70945520L;Calle Ultimátum Valiente 47, 3º 1ª;Málaga;Málaga;29737;632-646-203;959-873-184;jua.porras@mail.net;03/12/1995;416;493;62;24331
1074;Juan José;Barceló;Arranz;H;14332681R;Plaza de la Adicción Alba 77, 1;Los Palacios y Villafranca;Sevilla;41583;625-472-741;953-606-620;barcelo89@mail.es;13/06/1959;46;218;30;17578
1075;José Luis;Díaz;Fernández;H;60731195V;Avenida de la Navegación Etérea 267, 2º;Madrid;Madrid;28575;667-498-332;915-744-009;josdiaz@correo.net;17/02/1970;391;24;54;20480
1076;María Teresa;García;Soto;M;73840912X;Avenida Azteca 112, 6;Castro-Urdiales;Cantabria;39315;627-058-179;942-765-271;margarcia@email.net;11/10/1942;5;92;47;21073
1077;Francisco Javier;Navarro;Santos;H;48157645S;Plaza Genealogía Independiente 222, 1º 2ª;Puerto de la Cruz;S.C. de Tenerife;38181;675-079-935;922-503-217;fnavarro@email.com;03/01/1946;212;157;88;15221
1078;Alejandro;Torres;Lozano;H;45367359C;Calle de  Centesimal 73, 2;Mataró;Barcelona;8770;691-606-540;939-890-678;alejandro.torres@mail.net;01/08/1988;337;337;78;15172
1079;Emilio;Carmona;Gómez;H;81864406T;Plaza de la Frase Estricta 109, 4;Sevilla;Sevilla;41288;634-949-939;955-462-071;ecarmona33@mail.net;27/08/1937;103;51;76;15902
1080;Lucia;González;Contreras;M;66593570Z;Avenida Cóncavo Amoroso 87, 5º;Murcia;Murcia;30212;690-724-732;968-800-179;gonzalez43@correo.com;16/10/1954;33;173;48;22687
1081;Beatriz;Sánchez;Juan;M;21115452A;Avenida Abovedado 207, 2º 1ª;Sabadell;Barcelona;8245;649-937-849;937-559-598;beatrizsanchez@email.es;08/08/1952;318;224;50;23597
1082;Carlos;Torras;Rivas;H;12186611S;Plaza Predilección 121, 2º;Soria;Soria;42054;636-182-394;975-978-232;torras36@email.es;11/11/1937;46;53;56;22399
1083;Dolores;Arango;Moreno;M;68836777P;Calle Sinalefa Rápida 87 bis, 1;Santa Cruz de Tenerife;S.C. de Tenerife;38897;634-961-204;922-588-739;dolarango@mail.com;23/08/1998;490;398;80;20796
1084;Joan;Martínez;Montoya;H;66487153H;Paseo Fácil 126, 3;San Vicente del Raspeig;Alicante;3133;657-929-329;965-111-924;joamartinez88@mail.net;17/11/1987;105;173;87;24508
1085;Pablo;Quesada;Prados;H;05222894P;Avenida de  Bibliografía Deportiva 35, 5º 6ª;Talavera de la Reina;Toledo;45717;664-540-691;925-486-316;pabquesada95@mail.com;12/10/1951;157;403;84;17471
1086;María Pilar;Zambrano;Martínez;M;13949856B;Plaza el Bovino 114, 2;Villagarcía de Arosa;Pontevedra;36284;632-433-376;986-707-324;zambrano76@mail.com;26/09/1941;405;414;75;24588
1087;Luis;Lama;Aceituno;H;60529695C;Avenida  Retículo Audaz 173, 6º;Barcelona;Barcelona;8027;620-764-657;933-367-368;llama4@correo.net;07/02/1949;498;351;80;15726
1088;Juana;Úbeda;Pagan;M;71042352K;Calle del Vértice 93, 1º 5ª;Salamanca;Salamanca;37469;636-969-797;923-535-365;ubeda40@mail.net;18/11/1945;347;225;51;22635
1089;Laura;Conde;García;M;95660264K;Calle  Restauración Persistente 78, 5º;Tarrasa;Barcelona;8862;609-283-653;932-157-588;conde31@email.net;17/02/1984;431;225;87;15458
1090;Óscar;Pérez;González;H;67132532V;Plaza  Víscera Malcriada 190, 6;Sevilla;Sevilla;41265;634-915-335;956-352-576;operez@mail.net;15/01/1964;220;485;95;16154
1091;Carmen;Vázquez;Prats;M;89792831A;Plaza Subvención Malcriada 267, 6º 1ª;Madrid;Madrid;28204;686-148-415;912-594-555;c.vazquez@correo.net;15/05/1949;90;360;88;21601
1092;Ángeles;López;Quiles;M;87975887J;Plaza la Vellosidad 282, 2;Lérida;Lérida;25410;680-803-970;973-807-172;ang.lopez@correo.es;29/11/1982;257;398;78;16346
1093;Francisco;Pérez;Moreno;H;47376618E;Calle Selectividad Alta 214, 4º;Dos Hermanas;Sevilla;41315;671-730-203;952-193-333;francisco.perez@mail.es;28/04/1973;333;474;92;21494
1094;Ricardo;Asenjo;Santana;H;63321693W;Plaza Residencia 175, 4º;Teruel;Teruel;44561;640-538-032;978-692-746;ricardoasenjo16@correo.net;17/12/1984;49;270;33;17155
1095;Rafael;Del Rio;Diego;H;17990296H;Plaza Trascendental Blanco 229, 2;Cartagena;Murcia;30536;671-765-302;968-540-052;rafdelrio@email.net;17/10/1953;406;264;53;17341
1096;David;Sanz;Dolz;H;17570213F;Paseo Licencia Gélida 113, 4º;Valladolid;Valladolid;47705;615-081-912;983-026-532;dav.sanz@email.net;13/10/1938;398;367;68;15951
1097;Manuel;Carro;Moreno;H;63820146E;Avenida  Bimestre 263, 1º 5ª;Madrid;Madrid;28843;606-621-332;910-105-498;manuelcarro@email.com;14/01/1996;447;203;89;19218
1098;Manuel;López;Larrosa;H;12810858L;Avenida Complicación 246, 3º 1ª;San Sebastián de los Reyes;Madrid;28769;661-526-883;919-440-976;manlopez@correo.net;29/12/1934;491;49;54;22196
1099;Ana;Martin;González;M;75242258N;Paseo de  Vulnerable Prolijo 271, 3º 1ª;Murcia;Murcia;30605;632-696-512;968-025-979;anamartin48@mail.net;25/01/1983;51;228;54;23008
